"school_name","Macquarie School"
"logo_description","AQUÍ EL APRENDIZAJE NUNCA FINALIZA"
"contact_info","información de contacto"
"address","Dirección"
"complete_address","Las Madreselvas 640"
"city_address","Pilar, 1635"
"telephone_Fax","Teléfono/Fax:"
"telephone_number","+54 230 4474 224"
"email","info@macquarieschool.com.ar"
"contact_form","Formulario de Contacto"
"this_field_is_required","*Este campo es requerido."
"this_is_not_a_valid_email","*Este no es un email válido."
"this_is_not_a_valid_phone","*Este no es un teléfono válido"
"the_message_is_too_short","*El mensaje es muy corto"
"send","Enviar"
"Name","Nombre"
"Email","Correo Electrónico"
"Phone:","Teléfono"
"Message","Mensaje"
"About","Nosotros"
"Courses","Cursos"
"Gallery","Galeria"
"Travels","Viajes"
"Contact","Contacto"
"Home","Inicio"
"privacy_policy","Políticas de privacidad"
"contact_us","Contáctenos"
"Locations","Ubicación"
"get_directions","Obtener direcciones"
"title_pic1",""
"description_pic1",""
"title_pic2",""
"description_pic2",""
"title_pic3",""
"description_pic3",""
"title_how_incorporate","Como incorporarte"
"description_how_incorporate","Acercate o comunicate para solicitar una entrevista y poder realizar un test de nivelacion.De esta forma podemos decirte cual es el mejor grupo y/o tipo de aprendizaje para tus necesidades."
"welcome_title","Bienvenido"
"welcome_subtitle","Sobre la inscripcion"
"welcome_subtitle_2","Las clases regulares comienzan en marzo. De todas maneras podes sumarte durante el ano ya que
                     se van formando nuevos grupos y nuevas posibilidades."
